userid,condition_1,low_high,verb_num,justification_1,condition_2,neg_pos,noact_act,act_pos,act_neg,noact_neg,noact_pos,outcome,justification_2,justification_reason,justification_diff,justification_abs_diff,crt1,crt1_c,crt2,ctr2_c,crt3,ctr3_c,crt_score,consc,consc_1,consc_2,consc_3,consc_4,extra,extra_1,extra_2,extra_3,extra_4,agree,agree_1,agree_2,agree_3,agree_4,open,open_1,open_2,open_3,open_4,neuro,neuro_1,neuro_2,neuro_3,neuro_4,need.cog,need.cog_1,need.cog_2,need.cog_3,need.cog_4,need.cog_5,need.cog_6,need.cog_7,need.cog_8,need.cog_9,need.cog_10,need.cog_11,need.cog_12,need.cog_13,need.cog_14,need.cog_15,need.cog_16,need.cog_17,need.cog_18,aomt,aomt_1,aomt_2,aomt_3,aomt_4,aomt_5,aomt_6,aomt_7,aomt_8,aomt_9,orient,orient.2,orient.2_1,orient.2_2,orient.2_3,educ,age,gender,race
47,4,1,1,7,1,0,0,0,0,1,0,0,1,The President was not justified at all because there was prior knowledge of a very possible terrorist attack and there was the possibility to avoid it.,-6,6,0.05,1,10,0,12,0,1,6.25,5,7,7,6,3.25,3,5,2,3,6.75,7,6,7,7,2.75,3,2,2,4,4.75,5,2,7,5,3.555555556,4,5,4,3,3,3,3,3,1,2,5,5,4,1,4,4,4,6,4.888888889,2,6,6,6,7,4,7,2,4,5,5,5,5,5,3,1,2,1
48,4,1,1,5,4,1,1,1,0,0,0,0,6,"I think the President was justified because of the high chance (70%) of the attack, and the costs of having such an attack take place. ",1,1,0.05,1,20,0,12,0,1,4.25,5,3,5,4,4.75,3,6,5,5,6.25,6,7,5,7,4,5,5,3,3,4,5,3,3,5,3.833333333,3,3,5,5,3,2,5,5,3,3,5,5,2,3,4,3,5,5,4.333333333,3,5,6,5,5,2,5,5,3,1,3,3,3,3,2,1,2,4
49,3,1,0,3,4,1,1,1,0,0,0,0,7,He was justified because he saved people's lives and money,4,4,0.05,1,1,0,47,1,2,1.5,2,1,2,1,1,1,1,1,1,2.5,3,2,3,2,5.5,1,7,7,7,4.25,7,2,7,1,3.666666667,3,2,6,5,2,5,1,1,2,6,7,3,4,3,2,4,5,5,3.666666667,5,4,2,4,3,5,3,3,4,1,1,1,1,1,3,1,1,4
50,3,1,0,5,2,0,1,0,1,0,0,1,6,"he took the chance that it was a hoax, economical reasons",1,1,0.05,1,5,1,47,1,3,4.25,5,4,5,3,3.25,3,2,4,4,4.5,4,5,5,4,4,5,4,4,3,4.75,5,3,6,5,4.222222222,5,4,4,5,4,5,4,3,3,4,4,4,4,5,5,4,4,5,4.222222222,5,4,5,4,4,3,4,4,5,5,5.333333333,6,4,6,5,1,2,4
51,1,0,0,6,2,0,1,0,1,0,0,1,6,Safety is paramount concern,0,0,0.10,0,5,1,47,1,2,4.25,5,3,6,3,3.5,3,4,3,4,3.75,3,3,5,4,3.75,4,3,4,4,4.75,5,5,4,5,4.388888889,5,5,5,5,5,5,5,3,3,4,5,3,5,5,5,3,3,5,4.888888889,6,5,5,5,5,3,5,5,5,3,3,3,3,3,3,1,1,4
52,2,0,1,5,4,1,1,1,0,0,0,0,6,There was an attack that could have caused damage and hurt people.,1,1,0.05,1,5,1,47,1,3,4,5,2,5,4,5.5,5,6,5,6,5.75,6,6,5,6,6.25,6,6,7,6,4,5,3,3,5,5.888888889,4,5,6,6,7,5,6,6,7,6,5,6,5,6,6,6,7,7,6.111111111,6,7,7,6,4,6,7,6,6,5,4.333333333,4,7,2,3,1,2,4
53,3,1,0,6,4,1,1,1,0,0,0,0,6,"By not risking the event and grounding all aircrafts, he not only saved citizens but the economy as well",0,0,0.10,0,100,0,24,0,0,5,5,6,7,2,4.25,5,3,5,4,4.25,6,3,4,4,5.25,6,3,6,6,4.5,2,5,6,5,4.611111111,4,6,6,5,4,5,4,2,3,5,5,6,4,5,5,5,5,4,4.333333333,4,3,4,6,5,3,6,4,4,7,3,3,3,3,3,1,2,3
54,1,0,0,3,2,0,1,0,1,0,0,1,3,"Based on the credible intelligence reports, it was made apparent that a terrorist attack would be an unlikely scenario. Furthermore, taking immediate and reflexive action on a threat that lacks credence shows a rush to judgement and weakness on the part of our society. That is, the ultimate aims of terrorist regimes succeed when the United States succumbs to fear. A degree of uncertainty will always exist in such situations, but as a nation and a society, it should not hinder daily activity unless there is near certainty of a dangerous outcome.",0,0,0.05,1,100,0,24,0,1,3,2,2,5,3,5.5,5,6,6,5,6,6,6,6,6,6.25,6,6,6,7,4,5,5,2,4,4.666666667,3,6,6,5,5,5,6,3,2,6,6,6,3,6,6,3,2,5,5,4,6,6,6,1,5,6,6,5,1,4.333333333,4,6,3,3,1,1,4
56,2,0,1,6,4,1,1,0,0,0,0,1,7,The President was justified because his actions saved lives and money.,1,1,0.05,1,100,0,47,1,2,6.5,6,6,7,7,5.5,4,6,5,7,7,7,7,7,7,6,7,6,5,6,5.5,6,5,6,5,4.666666667,4,5,3,6,6,3,6,5,4,6,5,5,3,5,5,3,5,5,4.777777778,4,6,5,6,3,3,7,4,5,5,5,5,7,3,3,1,2,1
57,3,1,0,6,3,1,0,1,0,0,0,0,5,"It seems the justification may have also taken into account the amount of money it would have cost to ground all the flights, and did not make his decision with the safety of airline passengers in mind. ",-1,1,0.05,1,5,1,47,1,3,3,3,2,5,2,4.25,5,3,6,3,6.25,7,6,7,5,5.25,6,6,3,6,3.75,5,2,4,4,5.5,5,6,7,6,6,5,5,2,3,6,6,6,6,5,7,5,6,7,5.333333333,4,7,7,5,4,5,6,5,5,1,3,3,4,2,3,1,2,7
58,4,1,1,7,1,0,0,0,0,0,1,1,2,The President knew there was a threat and did not do anything to prevent this incident occurring.,-5,5,0.05,1,100,0,24,0,1,6,4,6,7,7,4,4,4,4,4,6.25,7,7,4,7,4,4,4,4,4,4,4,4,4,4,4.166666667,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,4.222222222,4,6,4,6,4,2,6,2,4,6,5,5,5,5,3,1,2,1
59,3,1,0,6,2,0,1,0,0,1,0,0,6,"The president exercised caution with the knowledge that he had available to him. The information that later surfaced that it was a hoax does not make the threat illegitimate, and the president did what he though was best.",0,0,0.05,1,100,0,47,1,2,6,5,6,7,6,2.75,3,3,2,3,6,6,6,6,6,6,6,6,6,6,2.75,2,2,2,5,5.111111111,3,6,5,6,6,5,6,1,3,6,6,6,6,6,6,3,6,6,5,4,6,5,7,3,4,6,4,6,2,7.333333333,7,8,7,3,1,1,1
60,3,1,0,6,3,1,0,0,1,0,0,1,5,"I think it is based on the credibility of the information. If it is very highly likely, then I think he has the right to take his measure to save his citizens",-1,1,0.05,1,5,1,47,1,3,4.5,5,3,5,5,4.75,4,5,5,5,5.5,5,5,6,6,5.75,5,6,6,6,3,3,3,3,3,4.166666667,4,5,5,4,2,5,3,3,5,5,5,5,3,5,3,5,5,3,5.111111111,6,6,6,5,5,5,5,3,5,1,4.666666667,4,6,4,5,1,1,4
61,4,1,1,5,1,0,0,0,0,0,1,1,2,did not ground all airplanes,-3,3,0.05,1,2000,0,12,0,1,5.5,5,6,6,5,3.75,4,3,5,3,5.75,6,6,6,5,5.5,6,6,4,6,4.75,5,3,5,6,3.666666667,2,4,4,4,5,4,3,4,3,4,4,4,2,6,4,2,4,3,4.666666667,4,6,4,6,3,4,6,4,5,3,3.666666667,4,4,3,2,1,2,4
62,3,1,0,5,2,0,1,0,0,1,0,0,5,He had reason to believe the safety of Americans was a risk.,0,0,0.10,0,100,0,47,1,1,4.25,5,2,7,3,4.5,4,5,4,5,4.5,5,6,5,2,2.75,5,2,2,2,5.75,6,6,6,5,5.722222222,6,6,7,7,6,3,7,3,2,7,7,7,7,5,7,6,7,3,6.444444444,7,7,7,5,6,7,7,6,6,1,3.666666667,3,6,2,3,1,2,1
63,1,0,0,5,1,0,0,0,1,0,0,1,5,He originally thought the threat was unlikely to occur,0,0,0.05,1,5,1,47,1,3,5,6,3,6,5,4,2,5,5,4,6,6,6,6,6,4,3,5,5,3,3.5,3,3,3,5,4.277777778,3,5,5,5,5,4,5,5,5,5,3,5,3,3,5,5,3,3,4.444444444,3,6,4,5,5,3,6,4,4,2,7,7,7,7,3,1,2,4
64,4,1,1,6,4,1,1,0,0,1,0,0,6,Because it was highly likely that lives and welfare would be at stake,0,0,0.05,1,5,1,47,1,3,5.5,3,6,6,7,2.75,2,4,2,3,6.25,6,7,5,7,6.25,5,7,7,6,2,2,2,2,2,5.277777778,5,5,5,5,6,5,4,3,4,7,6,7,5,7,5,6,5,5,6.444444444,6,7,7,7,5,6,7,7,6,5,2,3,2,1,2,1,1,1
65,1,0,0,6,4,1,1,1,0,0,0,0,7,He saved the passengers and also saved the country a 100 billion dollars ,1,1,0.10,0,5,1,47,1,2,2.5,2,1,5,2,6.25,6,6,6,7,5.25,6,4,5,6,5,6,4,5,5,5.5,5,6,5,6,3.611111111,4,4,2,5,4,4,3,2,2,5,4,5,3,4,5,2,4,3,4.666666667,5,5,5,6,3,5,6,5,2,5,4,4,5,3,3,1,2,7
66,2,0,1,5,2,0,1,1,0,0,0,0,5,"People could have died, and saving lives outweighs financial costs.",0,0,0.05,1,5,1,47,1,3,4,5,2,5,4,1.5,1,2,1,2,7,7,7,7,7,7,7,7,7,7,4.5,5,3,5,5,5.611111111,5,6,6,6,6,5,6,4,6,6,5,6,6,6,6,5,4,7,4.666666667,4,7,3,6,3,4,7,5,3,4,1,1,1,1,3,1,2,1
67,4,1,1,6,2,0,1,0,1,0,0,1,6,I think the lives of innocent people who contribute to the economy are more important than the economy itself.,0,0,0.05,1,100,0,47,1,2,5.75,3,7,7,6,1.5,1,2,2,1,5.75,5,6,5,7,4.5,5,4,3,6,3.25,4,2,1,6,4.611111111,4,5,5,6,6,5,5,1,4,5,6,4,5,4,6,4,5,3,5.555555556,5,7,5,5,5,5,6,5,7,7,5,5,6,4,3,1,2,3
68,4,1,1,6,3,1,0,0,1,0,0,1,5,There wasn't a guarantee that the attack would have occurred or not (only 70% probability) so he was justified either way.,-1,1,0.05,1,5,1,47,1,3,4.75,6,3,6,4,5.5,5,5,6,6,6,6,6,5,7,6,6,6,6,6,2,2,2,2,2,4.111111111,5,5,4,4,4,6,3,3,2,3,5,4,4,6,5,5,3,3,4,2,4,4,4,5,3,3,5,6,1,4,4,6,2,3,1,2,1
69,4,1,1,5,2,0,1,0,0,0,1,1,5,Potential cost of the terrorist attack outweighs monetary cost of lost dollars. ,0,0,0.05,1,100,0,47,1,2,5.25,5,5,5,6,4,3,4,5,4,4.75,5,5,4,5,3.5,5,3,3,3,3,3,3,3,3,4.166666667,4,5,4,3,5,5,5,3,3,4,5,5,3,3,4,5,4,5,4.222222222,5,5,5,4,4,3,5,3,4,2,6.333333333,7,7,5,3,1,1,1
70,1,0,0,2,3,1,0,0,1,0,0,1,6,There was little intelligence information that a terrorist attack would occur.,4,4,0.05,1,100,0,7,0,1,6,6,6,6,6,5,5,5,5,5,6,6,6,6,6,4.5,4,5,5,4,2,2,2,2,2,5.055555556,5,5,5,5,5,5,5,4,5,5,5,6,5,6,5,5,5,5,5.777777778,6,6,6,6,5,6,6,5,6,1,2.333333333,2,3,2,3,1,1,1
71,2,0,1,7,1,0,0,0,0,0,1,1,1,"The domestic safety of the country should be a top priority of the President, so action should have been taken in response to a serious threat",-6,6,0.05,1,5,1,47,1,3,4.5,5,3,4,6,3,3,3,3,3,5.5,6,6,4,6,3.75,2,2,6,5,1,1,1,1,1,5.222222222,3,5,6,6,6,5,3,5,5,7,6,7,5,4,4,6,6,5,6,4,7,7,6,6,6,7,7,4,1,3.333333333,3,4,3,3,1,1,2
72,2,0,1,6,2,0,1,0,0,1,0,0,6,shows he valued lives over money,0,0,0.05,1,5,1,47,1,3,4.75,5,4,5,5,1.5,2,2,1,1,5.75,6,6,5,6,5.75,5,6,6,6,6.5,6,7,6,7,4.944444444,4,3,6,6,6,2,6,4,5,6,4,7,5,6,5,3,6,5,6.111111111,6,6,7,7,5,6,7,5,6,3,5,5,7,3,3,1,2,1
73,2,0,1,3,2,0,1,0,1,0,0,1,5,"He was unjustified because it was a very low probability, but at the same time, he is responsible for an entire country and many lives and any report of a threat should be alarming to him.",2,2,0.10,0,100,0,24,0,0,3.5,3,2,6,3,5.25,5,6,4,6,6.75,7,7,6,7,5.75,6,6,5,6,5.75,5,7,5,6,4.111111111,2,2,5,5,7,2,6,3,3,5,2,5,6,4,3,4,7,3,4.444444444,5,6,4,7,2,5,6,3,2,1,3,3,3,3,3,1,2,1
75,3,1,0,6,4,1,1,0,1,0,0,1,6,lives have more value than money,0,0,0.05,1,5,1,47,1,3,4.75,5,4,5,5,1.25,2,1,1,1,5.75,6,6,5,6,5.75,5,6,6,6,6.25,6,6,6,7,4.944444444,4,4,6,5,5,3,6,4,4,6,5,6,5,6,5,4,5,6,6.444444444,6,7,6,7,5,7,7,6,7,3,5,5,6,4,3,1,2,1
77,2,0,1,7,2,0,1,0,0,0,0,1,6,"While the situation was a hoax, it is safer to ensure the safety of innocent people's lives than to risk the death of thousands of people.",-1,1,0.05,1,5,1,47,1,3,4,5,3,5,3,5.75,5,6,6,6,6.75,7,7,6,7,5.25,5,4,6,6,1.25,1,2,1,1,4,4,5,2,5,5,1,6,1,1,7,6,6,3,4,5,2,4,5,4.222222222,3,7,2,7,3,3,7,2,4,5,5.333333333,6,5,5,3,1,1,3
78,3,1,0,5,1,0,0,1,0,0,0,0,5,"You cannot cancel all ground flights because of a threat. There are too many threats for the president to take action for every single one of them. Also, this study didn't specify the extent of the legitimacy/ severity of the initial threat so it's hard to judge.. ",0,0,0.05,1,100,0,47,1,2,5.25,4,5,7,5,6,6,6,6,6,5.25,5,5,5,6,5.25,5,5,6,5,3.25,3,4,3,3,4.833333333,5,5,5,5,5,6,6,3,3,6,5,6,4,4,3,6,5,5,5.555555556,6,7,6,6,5,6,6,3,5,5,5.666666667,6,7,4,3,1,2,3
79,3,1,0,6,4,1,1,0,0,0,1,1,6,"He is justified because even though it probably costed the nation monetary costs to stop the airplanes, it saved lives.",0,0,0.05,1,5,1,47,1,3,4.75,5,5,5,4,3.75,3,5,3,4,3,3,3,3,3,7,7,7,7,7,4.5,5,5,5,3,6.222222222,7,6,7,6,6,5,7,7,7,7,6,6,6,7,7,7,7,1,6.555555556,7,7,7,6,6,6,7,7,6,5,5,5,6,4,3,1,1,4
80,3,1,0,6,1,0,0,0,1,0,0,1,5,"As the President of the United States there is a certain level of automatic trust the American people (which would include me) have in the President. That trust, as well as the sense of duty that comes with that office entitles the President to make decisions they feel are necessary to keep the country running as best as it can, its people as safe as they can. With that in mind, I believe the President to be somewhat justified in almost any thing they do...as a president. As a person, that is another story. ",-1,1,0.05,1,5,1,47,1,3,4.75,5,5,6,3,4,5,3,5,3,6,6,6,6,6,6,6,6,6,6,3.5,3,2,4,5,5.111111111,3,5,6,5,6,4,5,6,3,6,6,6,6,6,6,4,3,6,4.888888889,4,1,6,7,3,5,7,5,6,1,2.333333333,2,3,2,3,1,2,1
81,3,1,0,6,4,1,1,0,0,1,0,0,7,"If he had not taken the action, innocent civilians would have been killed.",1,1,0.10,0,100,0,24,0,0,4.5,5,2,7,4,6,5,6,7,6,5.75,6,6,6,5,7,7,7,7,7,4.25,5,3,4,5,5.111111111,5,3,7,7,7,5,5,3,3,7,7,7,3,7,2,3,6,5,5.111111111,3,7,5,4,5,5,7,5,5,1,3.333333333,3,4,3,5,1,1,1
82,2,0,1,5,1,0,0,1,0,0,0,0,6,"The threat was 20%. The President didn't know beforehand that an explosion would definitely occur, so the president was justified in not grounding any aircrafts. ",1,1,0.05,1,100,0,47,1,2,5.75,3,7,7,6,5,3,7,5,5,6,7,5,6,6,5.75,7,6,3,7,6,5,7,5,7,4.611111111,2,1,7,3,7,6,7,7,2,6,6,5,2,5,5,1,6,5,5.888888889,7,7,6,7,7,5,7,3,4,1,1,1,1,1,3,1,2,4
83,2,0,1,5,3,1,0,0,0,1,0,0,5,Justified- would have been a lot of money. Not justified- can't live in fear. ,0,0,0.05,1,5,1,47,1,3,2,2,2,2,2,5.75,5,6,6,6,6,6,6,6,6,6,6,6,6,6,4,2,2,6,6,4.722222222,5,5,5,5,5,5,5,2,5,6,5,5,5,5,4,3,5,5,5.444444444,6,6,6,6,2,5,6,6,6,1,3,3,3,3,5,1,2,1
84,3,1,0,6,1,0,0,1,0,0,0,0,5,"Grounding all planes may have caused economic costs as well. With limited information, it may have also caused mass panic. ",-1,1,0.05,1,100,0,47,1,2,6,5,6,6,7,3.75,3,3,5,4,5.5,6,6,5,5,3.75,2,3,5,5,2.5,2,3,2,3,3.611111111,3,3,4,5,5,3,4,2,2,2,4,5,5,2,3,2,6,5,5.555555556,6,5,6,6,4,5,6,6,6,1,4.333333333,4,5,4,5,1,2,4
85,3,1,0,7,3,1,0,0,0,1,0,0,7,The President is justified in his actions if it regards the people's safety,0,0,0.05,1,5,1,47,1,3,4.25,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4.25,5,4,4,4,4,4,4,4,4,3.722222222,4,4,3,3,4,4,3,3,4,4,4,4,4,4,4,4,3,4,4.222222222,4,5,5,4,4,4,4,4,4,5,5,5,5,5,3,1,2,4
86,1,0,0,3,1,0,0,0,0,0,1,1,3,There was not a serious threat.,0,0,0.10,0,100,0,24,0,0,4.25,3,2,6,6,2.5,1,2,6,1,6.75,7,7,6,7,6.5,7,6,6,7,3.5,5,1,2,6,5.277777778,6,6,6,7,6,2,5,1,5,5,7,6,4,6,6,5,6,6,5.333333333,4,7,7,6,4,1,7,7,5,2,7.333333333,8,7,7,3,1,1,1
88,1,0,0,,2,0,1,0,0,1,0,0,5,he made the best decision he could at the time,5,5,0.10,0,100,0,48,0,0,4,4,3,5,4,6.75,7,7,6,7,6.75,7,7,6,7,6.75,6,7,7,7,4.75,5,5,5,4,4.444444444,1,5,3,4,5,2,6,6,4,5,4,7,2,4,5,5,7,5,5.333333333,3,7,4,7,5,5,7,5,5,5,3,3,3,3,3,1,2,1
89,1,0,0,4,2,0,1,0,0,0,1,1,5,"I believe the President was somewhat justified because his role is to protect the American people, and due to the risk/threat that was imposed, it is his obligation and under his rights to do what he thinks will protect his people.",1,1,0.10,0,100,0,47,1,1,3.25,3,2,5,3,6,5,7,5,7,6.75,6,7,7,7,6.25,6,6,6,7,4,3,6,4,3,4.944444444,2,5,6,6,5,2,4,6,7,7,3,6,3,5,7,6,6,3,4,6,3,3,7,3,5,5,3,1,2,4.333333333,5,5,3,2,1,2,1
90,1,0,0,5,,,,0,0,1,0,0,,,-5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,,,2,0,1,0,1,0,0,1,6,There was a possible threat to the country and the President took appropriate action in response to it,6,6,0.10,0,100,0,24,0,0,1.75,1,1,4,1,1.75,2,1,2,2,6.5,7,6,6,7,6,6,7,6,5,3.75,2,3,6,4,3.833333333,2,5,5,3,5,2,3,3,1,6,5,6,4,6,4,1,6,2,5,4,6,5,6,3,4,6,5,6,5,5,5,5,5,3,1,2,3
92,4,1,1,6,3,1,0,0,1,0,0,1,2,Shouldve grounded flights,-4,4,0.05,1,5,1,47,1,3,6.5,6,7,6,7,5.25,5,6,4,6,4.75,5,5,3,6,5.25,5,6,5,5,2.25,1,2,2,4,6.333333333,6,6,6,7,7,7,6,7,7,6,7,5,6,5,6,7,7,6,6.555555556,7,6,7,7,5,7,7,6,7,1,3,3,3,3,3,1,2,1
93,2,0,1,6,2,0,1,0,0,0,0,1,6,"the life of the people is more important than the money lost, plus that amount is negligible for the US",0,0,0.50,0,100,0,47,1,1,4,2,6,5,3,3.25,3,2,2,6,3,2,2,6,2,1,1,1,1,1,4,2,2,6,6,2.722222222,3,3,4,1,2,5,1,5,2,3,1,2,3,1,3,3,1,6,5.111111111,2,6,7,7,5,6,7,2,4,5,5,5,5,5,3,1,2,1
94,2,0,1,5,4,1,1,0,1,0,0,1,4,"It is clear that the President wanted to avoid the potential occurrence of an attack, despite the fact that the report indicated that it was unlikely such an attack would occur. It is clear that he was trying to keep Americans safe, which is justified, however because the attack wasn't so likely to occur, he did not need to ground all aircraft. ",-1,1,0.10,0,5,1,47,1,2,6,5,6,7,6,5.5,4,6,6,6,6.75,7,7,6,7,5.5,4,6,6,6,3,2,6,2,2,4.833333333,4,6,4,4,6,5,5,4,4,6,4,6,4,4,5,5,5,6,3.888888889,5,5,4,6,2,2,5,2,4,6,5,5,5,5,3,1,2,1
95,1,0,0,5,3,1,0,0,0,0,1,1,3,"If the threat had not been a hoax, people would have died and it could have been prevented.",-2,2,0.05,1,500,0,36,0,1,5,5,3,7,5,5.25,5,5,5,6,6.25,7,6,5,7,6.25,7,5,6,7,1.5,1,1,2,2,3.611111111,3,3,3,5,5,3,5,2,3,5,3,3,5,5,3,3,5,1,5.555555556,5,7,5,7,5,5,7,5,4,2,3.666666667,4,5,2,3,1,1,1
