userid,condition_1,low_high,verb_num,justification_1,condition_2,neg_pos,noact_act,act_pos,act_neg,noact_neg,noact_pos,outcome,justification_2,justification_reason,justification_diff,justification_abs_diff,crt1,crt1_c,crt2,ctr2_c,crt3,ctr3_c,crt_score,consc,consc_1,consc_2,consc_3,consc_4,extra,extra_1,extra_2,extra_3,extra_4,agree,agree_1,agree_2,agree_3,agree_4,open,open_1,open_2,open_3,open_4,neuro,neuro_1,neuro_2,neuro_3,neuro_4,need.cog,need.cog_1,need.cog_2,need.cog_3,need.cog_4,need.cog_5,need.cog_6,need.cog_7,need.cog_8,need.cog_9,need.cog_10,need.cog_11,need.cog_12,need.cog_13,need.cog_14,need.cog_15,need.cog_16,need.cog_17,need.cog_18,aomt,aomt_1,aomt_2,aomt_3,aomt_4,aomt_5,aomt_6,aomt_7,aomt_8,aomt_9,orient,orient.2,orient.2_1,orient.2_2,orient.2_3,educ,age,gender,race
96,2,0,1,6,,,,0,1,0,0,1,,,-6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,,,,2,0,1,1,0,0,0,0,7,"The potential loss of life greatly outweights the monetary cost, and 70% probability is extremely high.",7,7,0.05,1,100,0,24,0,1,3.25,2,3,2,6,2.25,2,3,1,3,3.25,5,2,1,5,6.75,6,7,7,7,1.75,1,2,1,3,6.611111111,7,7,7,7,7,7,5,7,6,7,6,7,5,7,7,6,7,7,5.666666667,5,7,7,7,5,2,7,6,5,2,5,6,7,2,3,1,2,1
98,4,1,1,7,2,0,1,0,0,0,1,1,6,"Whether the outcome was positive or negative, I supported his decision and still stand by my support. ",-1,1,0.10,0,100,0,24,0,0,6.25,6,6,7,6,5.75,6,6,5,6,6.5,7,6,6,7,6,6,6,6,6,5.75,6,5,6,6,5.222222222,5,6,5,5,5,5,6,4,2,5,6,6,5,5,6,6,6,6,4.333333333,3,5,3,5,3,3,7,5,5,1,2.333333333,3,3,1,3,1,2,2
99,2,0,1,6,4,1,1,0,0,0,0,1,7,He did not trust that flight would be safe so he took the necessary precautions,1,1,0.10,0,5,1,47,1,2,5,5,6,6,3,3.25,2,4,4,3,4.5,5,4,5,4,4.5,5,4,4,5,4.25,5,3,5,4,4.166666667,4,3,5,5,4,4,4,4,4,4,4,5,4,4,4,4,5,4,5.333333333,6,6,6,5,4,4,6,5,6,3,4.333333333,4,5,4,3,1,2,4
100,1,0,0,7,2,0,1,0,1,0,0,1,5,He was being cautious ,-2,2,0.05,1,100,0,24,0,1,5.75,5,6,7,5,4.25,5,2,5,5,6,6,6,6,6,5.5,5,5,6,6,4,3,4,5,4,4.388888889,3,5,5,4,5,4,5,4,3,5,5,4,4,5,4,5,5,4,4.333333333,3,6,5,6,4,4,5,3,3,1,3,3,3,3,3,1,2,2
101,1,0,0,5,1,0,0,0,1,0,0,1,2,unjustified because did not take action against threats,-3,3,0.05,1,2000,0,12,0,1,5.75,5,6,6,6,4,4,3,5,4,5.5,5,6,5,6,5.5,6,5,5,6,4.25,5,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,4,1,1,5,3,1,0,1,0,0,0,0,6,It was a hoax so he didn't have to ground the aircrafts. ,1,1,0.10,0,100,0,24,0,0,5.5,6,5,6,5,6,6,6,6,6,6.5,7,6,6,7,4.25,5,4,4,4,3.5,3,3,3,5,4.388888889,4,6,5,5,5,6,3,4,3,4,5,5,4,5,4,3,3,5,5.111111111,6,5,6,6,3,5,6,4,5,6,3.666666667,3,4,4,3,1,2,1
103,3,1,0,6,3,1,0,0,1,0,0,1,6,"Based on the information he had, he made a seemingly good judgement as to whether or not something bad would happen. ",0,0,0.05,1,20,0,36,0,1,6,6,6,6,6,5,5,6,3,6,6.75,7,6,7,7,4,4,3,5,4,1.25,1,1,2,1,4.277777778,3,5,5,5,7,3,6,3,6,3,4,6,3,3,5,2,2,6,5.333333333,6,6,6,6,2,4,6,6,6,1,2.666666667,2,4,2,3,1,2,1
104,1,0,0,5,3,1,0,0,0,1,0,0,6,"I don't think that ""intelligence reports"" are a valid indicator of terrorist attacks. He took a big risk of losing American lives, but the other option was not completely logical either",1,1,0.05,1,100,0,47,1,2,4.75,5,3,6,5,2,2,2,2,2,6.25,7,6,7,5,4,5,4,3,4,3.5,5,1,5,3,4.722222222,5,6,5,5,6,3,4,4,3,5,6,6,4,6,6,2,3,6,5.222222222,4,6,7,6,4,3,7,5,5,1,3,3,3,3,3,1,2,2
105,3,1,0,3,1,0,0,0,0,0,1,1,1,He should have told fliers about the potential impending attack if he chose to not ground the flights.,-2,2,0.05,1,5,1,47,1,3,6.5,6,7,7,6,1.75,2,1,2,2,5.5,6,6,5,5,6.5,7,6,6,7,1.5,2,1,1,2,3.5,3,4,5,4,2,2,2,5,2,2,4,7,4,6,4,1,2,4,6.777777778,7,7,7,7,5,7,7,7,7,1,2,2,3,1,3,1,1,7
106,2,0,1,6,3,1,0,0,0,0,1,1,5,Terrorists threats are made to cause terror in the population and without proof of an actual threat it can be detrimental to alter daily life and would satisfy the hopes of terrorists making such threats.,-1,1,0.05,1,1,0,47,1,2,4.75,5,3,6,5,2.5,2,3,2,3,5.25,6,4,6,5,5,5,5,5,5,5.5,5,5,6,6,4,5,3,4,5,5,2,4,2,2,5,4,5,4,5,5,5,5,2,4.888888889,4,6,5,7,2,6,7,3,4,3,4.666666667,5,6,3,3,1,2,1
107,,1,1,5,,,,0,0,0,1,1,,,-5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,,,,,,,,0,0,1,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,,,,,1,0,0,0,0,0,1,1,2,A 20% risk is large enough that loss to human life outweighs the potential economic loss of grounding all aircraft.,2,2,0.05,1,5,1,47,1,3,4,6,2,6,2,3,3,4,2,3,6,6,6,6,6,5,5,3,7,5,3.5,2,6,2,4,6.333333333,7,7,7,7,7,7,7,4,6,7,6,7,7,4,7,4,7,6,6.333333333,7,6,7,7,6,6,7,5,6,1,4.333333333,5,5,3,3,1,1,1
110,2,0,1,7,3,1,0,0,0,0,0,1,7,Passengers and airlines understand the risk of flying when there is a threat. Not the president's right to interfere in private business.,0,0,0.10,0,100,0,47,1,1,3.25,2,3,5,3,1.5,1,2,1,2,4.5,6,2,6,4,4.25,5,2,4,6,3.75,2,2,5,6,4.388888889,4,4,3,6,6,1,6,4,4,4,6,4,4,4,6,2,5,6,6,6,7,7,7,7,7,7,5,1,5,4.666666667,4,6,4,3,1,1,1
111,1,0,0,2,3,1,0,0,0,0,0,1,5,The threat was not very valid or able to be proven.,3,3,0.05,1,100,0,47,1,2,4.75,5,4,6,4,2.5,2,3,3,2,6,6,6,7,5,4.75,5,5,4,5,2.5,2,1,3,4,4.388888889,5,7,5,3,5,3,4,2,4,5,6,5,5,5,4,2,3,6,5,3,6,6,4,4,3,6,6,7,1,3,3,3,3,3,1,2,2
112,2,0,1,2,1,0,0,0,0,1,0,0,3,should have taken the threat more seriously,1,1,0.10,0,500,0,47,1,1,5.5,6,5,6,5,4.5,3,5,5,5,3,3,3,3,3,4,3,5,5,3,4,5,3,3,5,4.777777778,5,5,6,6,6,3,6,3,3,5,2,6,5,5,5,3,6,6,5.444444444,6,6,6,6,5,6,5,3,6,3,4.666666667,5,6,3,2,1,2,1
113,2,0,1,6,1,0,0,0,0,0,1,1,3,"Although the threat was legitimate, a 20% risk is very low and grounding all aircrafts for one day would have only caused the terrorists to change the date of their attack, and it would have inconvenienced millions of people traveling for the holidays. And grounding all the aircrafts would have caused a great amount of terror for the American people, whether or not there was an attack. The terrorists would have done their job.",-3,3,0.05,1,5,1,47,1,3,3,2,2,6,2,5.5,4,6,6,6,6.5,7,7,5,7,6.25,7,7,4,7,5.25,5,5,5,6,4.444444444,5,5,6,3,5,5,2,3,2,4,5,5,4,4,5,5,6,6,5.444444444,5,7,5,6,5,5,7,4,5,1,2.666666667,3,4,1,3,1,2,1
114,2,0,1,3,4,1,1,0,0,0,1,1,6,Justified due to the fact a successful attack would have cost 100 billion to the economy as well as emotional terror/loss of human life,3,3,0.05,1,5,1,47,1,3,3,2,2,5,3,4,2,5,5,4,6.25,6,6,6,7,6.25,6,6,6,7,4.5,3,5,5,5,4.944444444,5,5,6,6,7,6,6,3,3,6,5,6,5,5,5,2,6,2,4.333333333,6,2,5,6,2,2,6,5,5,3,5.666666667,5,6,6,5,1,2,4
115,4,1,1,6,3,1,0,0,0,1,0,0,7,Intelligence reports said it was UNlikely that terrorists would attack the aircraft.,1,1,0.05,1,5,1,32,0,2,3,2,3,5,2,3,2,5,3,2,5.5,6,5,5,6,4,5,3,3,5,4.75,5,3,6,5,3.277777778,2,2,3,3,3,5,5,1,2,5,3,4,2,2,3,3,5,6,4.555555556,5,6,6,3,6,5,6,2,2,5,5.666666667,5,6,6,3,1,2,1
116,1,0,0,1,4,1,1,0,0,1,0,0,7,High probability/high risk,6,6,0.05,1,5,1,47,1,3,6.75,6,7,7,7,3.5,3,3,5,3,6.75,7,7,6,7,6,6,6,6,6,6.25,6,7,6,6,5.777777778,5,6,7,7,7,5,6,5,5,5,6,7,5,5,5,6,7,5,7,7,7,7,7,7,7,7,7,7,1,2.333333333,2,4,1,3,1,2,4
117,4,1,1,7,3,1,0,1,0,0,0,0,4,his actions did not alter the chance of terrorism ,-3,3,0.05,1,5,1,47,1,3,5,6,3,6,5,3.25,3,5,2,3,3.75,3,4,3,5,4.5,5,5,3,5,4.75,5,6,5,3,4.722222222,5,3,5,5,5,5,3,3,3,6,5,6,5,5,3,6,6,6,4.333333333,2,5,3,6,5,5,5,4,4,7,6.333333333,7,7,5,2,1,2,4
118,2,0,1,5,3,1,0,0,0,0,1,1,7,"I believe that a 20% chance of death is significant. Anyone is justified in mitigating the chance of their own death, especially if it is significant. However, if we were approaching this completely rationally and objectively, we would measure the expected cost of each situation, and choose the option that minimized the cost.",2,2,0.05,1,5,1,47,1,3,6,6,6,6,6,4.25,2,6,2,7,7,7,7,7,7,5.75,7,6,3,7,1.25,1,2,1,1,5.888888889,6,6,7,7,7,6,6,1,7,6,7,7,6,6,7,1,7,6,4.888888889,3,7,6,7,4,2,7,4,4,3,5,5,7,3,3,1,1,2
119,2,0,1,7,3,1,0,1,0,0,0,0,5,"The negative effects of an attack, had one occurred, outweigh the negative effects of grounding all air traffic for one day.",-2,2,0.05,1,5,1,47,1,3,5.25,5,3,7,6,2.5,1,3,3,3,5.75,6,6,5,6,5,7,4,4,5,5.25,1,7,6,7,3.5,2,5,2,4,6,2,3,2,2,3,4,6,2,3,4,3,6,4,5.444444444,2,7,7,6,4,5,6,7,5,1,2,2,2,2,3,1,2,4
120,4,1,1,6,,,,0,0,0,1,1,,,-6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,,,,,4,1,1,0,0,0,1,1,6,Because the risk he took paid off. They caught the terrorists and saved money,6,6,0.10,0,100,0,24,0,0,5.5,5,6,6,5,3.5,4,4,3,3,5.25,6,5,7,3,3,3,3,3,3,3.5,5,4,2,3,3.777777778,4,2,4,4,4,2,5,1,3,4,3,6,5,2,5,2,5,7,4.444444444,5,6,5,6,3,2,6,2,5,5,5,5,5,5,3,1,2,2
122,3,1,0,5,2,0,1,0,0,0,1,1,5,"a threat should not be taken lightly and though it did not occur this time, the money would be worth it if it occurred ",0,0,0.10,0,100,0,24,0,0,3.25,2,3,5,3,5,4,5,5,6,5,6,6,2,6,4,4,4,4,4,4.25,2,5,4,6,3.722222222,2,2,5,4,6,4,6,5,5,2,2,5,1,3,5,3,4,3,4.444444444,5,6,5,5,4,4,5,2,4,3,4.666666667,5,7,2,3,1,2,1
123,2,0,1,6,4,1,1,0,0,0,0,1,5,I think he was justified.,-1,1,0.05,1,20,0,5,0,1,5.25,5,5,6,5,4.25,4,3,5,5,5,6,5,4,5,3.75,4,5,3,3,5.5,6,5,5,6,3.888888889,5,5,3,3,4,3,5,3,3,3,3,6,3,4,6,3,5,3,4.444444444,5,5,5,6,2,3,5,5,4,2,6,7,8,3,3,1,2,1
124,3,1,0,5,4,1,1,1,0,0,0,0,6,Saving Lives,1,1,0.05,1,100,0,47,1,2,2.25,2,1,5,1,6.5,7,6,7,6,6.25,6,6,6,7,7,7,7,7,7,6,6,7,5,6,5.388888889,6,6,5,5,6,3,7,3,4,7,5,7,4,7,6,4,7,5,5.222222222,6,6,6,6,3,5,6,5,4,3,4.333333333,5,7,1,3,1,1,1
125,2,0,1,6,2,0,1,0,1,0,0,1,5,He did what was best for the general population,-1,1,0.10,0,100,0,47,1,1,4,3,5,3,5,4,3,5,3,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.277777778,5,5,5,4,3,3,3,5,4,5,5,5,4,6,3,4,4,4,3.888888889,4,5,5,3,5,2,3,5,3,1,2.666666667,3,3,2,3,1,2,3
126,3,1,0,5,1,0,0,1,0,0,0,0,6,"There is always the risk of threat/flight malfunction. The president acted in accordance with his advisers saying that an attack was unlikely, so if anyone is to blame it is the advisers.",1,1,0.05,1,5,1,47,1,3,5.25,5,6,6,4,2,2,2,2,2,5.75,6,6,5,6,5.5,5,6,6,5,3,2,6,2,2,5.055555556,5,6,4,6,6,4,6,4,4,6,7,4,5,3,6,4,6,5,5.222222222,6,6,5,6,4,5,6,4,5,3,4,4,5,3,3,1,1,1
127,1,0,0,2,3,1,0,1,0,0,0,0,6,He can take action according to how he believes will happen. ,4,4,0.05,1,5,1,47,1,3,4.5,5,3,6,4,6.5,7,7,6,6,6.25,6,6,6,7,6.25,7,6,6,6,2.75,2,4,3,2,5.166666667,3,6,6,4,6,5,6,6,6,6,5,4,5,6,4,5,6,4,4.333333333,4,6,4,6,4,2,6,4,3,1,4,4,4,4,3,1,1,3
128,1,0,0,6,2,0,1,0,1,0,0,1,5,The President took into account the consequences and decided it would be better to potentially save many lives and lose money than go ahead as normal and potentially send many people to their deaths.,-1,1,0.05,1,5,1,47,1,3,5,3,6,6,5,3.25,4,3,3,3,7,7,7,7,7,5.25,5,6,5,5,5,4,4,5,7,3.777777778,4,2,3,3,4,3,4,3,5,3,4,4,3,5,3,4,5,6,5.666666667,4,7,6,6,5,7,7,3,6,1,3.666666667,4,4,3,3,1,2,1
129,1,0,0,5,3,1,0,0,0,1,0,0,5,he has all the facts to make a sound decision,0,0,0.05,1,100,0,24,0,1,5.5,6,5,6,5,4,4,4,5,3,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,4.111111111,4,4,4,4,3,4,3,5,4,5,5,5,5,5,4,4,3,3,4.222222222,4,5,4,4,4,4,5,4,4,1,3.666666667,5,4,2,3,1,2,7
131,1,0,0,2,2,0,1,0,0,0,1,1,5,"He was concerned about the safety of the people. Since the news of the threat was sudden, it would have been hard to come to a decision, so he could have made a rash decision.",3,3,0.05,1,5,1,47,1,3,3.5,3,3,5,3,3,3,3,3,3,4.5,5,4,5,4,4,5,4,3,4,4.5,4,4,5,5,4.5,5,5,4,4,4,4,4,4,5,5,4,4,5,4,5,5,5,5,4.777777778,4,5,5,5,4,5,5,5,5,5,4,4,4,4,3,1,2,4
132,3,1,0,5,3,1,0,0,1,0,0,1,6,There was an 80% chance that this was a hoax and the President took that risk. ,1,1,0.05,1,5,1,47,1,3,5.5,5,6,6,5,3,3,3,3,3,5,5,5,5,5,5,6,5,4,5,3.25,3,3,3,4,4.444444444,4,5,5,5,5,2,4,3,3,6,4,5,4,5,5,5,5,5,5,5,7,6,6,2,3,5,5,6,6,4.666666667,5,5,4,3,1,2,4
133,2,0,1,3,2,0,1,0,0,0,1,1,5,"There was danger to the American people and the President is responsible for protecting them. However, Christmas Eve is a very busy flight day so I'm not sure grounding all flights was 100% justified.",2,2,0.05,1,5,1,47,1,3,3,2,2,6,2,1,1,1,1,1,7,7,7,7,7,5,6,6,2,6,5.5,5,5,6,6,3.722222222,3,3,5,5,5,6,5,2,2,3,3,5,2,5,5,2,1,5,6.111111111,6,6,7,7,4,5,7,7,6,1,3.333333333,3,5,2,3,1,1,1
134,2,0,1,5,4,1,1,0,1,0,0,1,6,"One one hand they were justified in their effort to prevent loss of life and monetary loss, but it could also be seen as a sign of weakness by bowing to the threats of terrorists. ",1,1,0.10,0,100,0,28,0,0,4.75,5,4,5,5,5,5,5,5,5,6.25,6,6,6,7,5.75,6,6,5,6,3.5,3,3,4,4,4.444444444,3,5,5,6,6,3,5,5,3,6,5,6,3,2,3,3,6,5,5.444444444,4,7,6,7,4,3,6,6,6,1,3,3,3,3,3,1,2,7
135,2,0,1,5,1,0,0,0,0,0,1,1,6,"There was only a 20% chance of an attack, the cost of grounding planes is also very high ",1,1,0.05,1,100,0,24,0,1,6.25,6,6,7,6,3.75,3,3,5,4,6,6,6,6,6,4.5,6,3,3,6,4.75,4,4,5,6,4.111111111,5,6,3,2,3,4,5,3,3,5,5,3,5,4,5,3,5,5,3.888888889,4,4,4,4,2,3,4,4,6,1,4,4,5,3,3,1,2,4
136,2,0,1,6,,,,0,1,0,0,1,,,-6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,,,,,3,1,0,1,0,0,0,1,4,He was justified in taking either action. He has the power to make a decision and he needs to go with the correct one and justify it. Both can be justified.,4,4,0.05,1,5,1,47,1,3,1.5,1,1,3,1,1.75,1,4,1,1,5.75,7,7,6,3,7,7,7,7,7,7,7,7,7,7,6.166666667,7,7,7,7,7,7,7,4,4,7,7,7,7,7,7,4,1,7,6,7,7,7,7,1,7,7,4,7,1,3,3,5,1,2,1,2,1
138,3,1,0,6,1,0,0,0,0,1,0,0,5,"Because there was only 20% probability of an attack, I think the President's decision could go either way and he/she couldn't be blamed really for either outcome.",-1,1,0.05,1,5,1,47,1,3,7,7,7,7,7,3.25,2,6,2,3,6.75,7,7,6,7,4.75,5,6,3,5,5,5,5,6,4,4.444444444,3,5,6,3,5,3,6,2,2,5,5,6,5,5,5,3,6,5,5.555555556,6,7,5,7,6,3,7,5,4,1,3.333333333,3,5,2,3,1,2,4
139,2,0,1,5,1,0,0,0,0,0,0,1,3,"The President was unjustified in not grounding all aircraft because they knew there was a risk greater than 50% that there could be a terrorist attack, which would justify landing the aircraft. ",-2,2,0.05,1,100,0,47,1,2,3.25,3,3,5,2,3.5,3,5,2,4,6,6,6,6,6,3.5,2,5,4,3,5,4,5,6,5,4.277777778,4,4,5,5,5,4,5,5,4,4,3,5,3,4,4,4,4,5,4.222222222,3,5,5,5,4,4,5,3,4,3,4,4,5,3,3,1,2,1
140,4,1,1,5,,,,0,0,0,1,1,,,-5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,,,,,4,1,1,0,0,1,0,0,6,It would have harmed innocent people and damaged the economy,6,6,0.05,1,5,1,47,1,3,5.5,6,5,6,5,5.25,5,7,5,4,5.5,6,5,5,6,5.5,5,5,6,6,2.25,2,3,2,2,5.555555556,5,5,6,6,6,5,6,3,4,5,7,7,5,5,5,7,7,6,5.555555556,4,6,7,7,5,4,7,5,5,1,3.333333333,3,5,2,3,1,2,7
142,3,1,0,6,1,0,0,0,0,1,0,0,6,"If there was no credible information that an attack was highly likely, it isn't realistic or reasonable to expect the President to ground ALL flights. Bush, however, if we are to speak of 9/11, had information that an attack would happen, but chose not to act.",0,0,0.05,1,100,0,47,1,2,4.5,5,4,6,3,3.5,4,5,2,3,5.75,6,6,5,6,6,6,6,6,6,5.5,5,6,5,6,5.833333333,6,6,7,7,2,6,6,6,7,7,6,1,6,6,7,6,7,6,5.444444444,5,6,6,6,3,6,6,6,5,4,1,1,1,1,5,1,2,4
143,2,0,1,2,,,,0,0,0,0,1,,,-2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,,,,,2,0,1,1,0,0,0,0,6,The President was justified because it is better to be safe than sorry when it comes to potential terrorist attacks ,6,6,0.10,0,100,0,24,0,0,5.5,5,5,6,6,4.5,5,5,5,3,5.5,6,5,5,6,6.25,6,6,6,7,2.75,2,5,1,3,3.277777778,1,5,5,3,3,1,3,2,5,6,2,5,1,2,3,6,3,3,4.333333333,3,5,7,3,3,3,5,5,5,1,2.666666667,3,3,2,3,1,2,2
145,3,1,0,7,,,,0,0,1,0,0,,,-7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,,,,,1,0,0,0,0,0,0,1,5,Stopping every single plane seems like overkill and unreasonable,5,5,0.05,1,100,0,24,0,1,5.5,5,6,5,6,2.75,3,3,2,3,5,6,5,3,6,4.5,4,4,5,5,1.25,1,1,1,2,3.5,3,3,2,4,6,2,4,3,3,5,4,3,2,5,3,3,5,3,5,4,6,6,6,5,5,6,3,4,2,5.333333333,5,7,4,2,1,1,1
,,,,,,,,0,1,0,0,1,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0,0,0,0,1,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0,0,1,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
